SecID;PerformanceID;FundId;Company;DomicileId;CompanyName;FundName;SecurityName;LegalStructure;ShareClassLegalName;UCITS;MorningstarCategoryId;InceptionDate;Status;ObsoleteDate;IsBaseCurrency;IsPrimaryShareClass;IsOldestClass;CurrencyId;IncomeDistribution;AccumulatedDistribution;InsuranceFund;HedgeFund;FundOfFunds;ExchangeTradedShare;CUSIP;ISIN;CurrencySpecificISIN;SEDOL;Ticker;GermanWKN;AustrianWKN;Valoren;MEX;OsloBors;FundSERV;APIR;ITAJ;FocusId;PricingFrequency;PricingDelay;ReportsOnFridays;ReportsOnSundays;FR_PEA;FR_AMF;IT_CategoriaAssogestioni;UK_IMASector;UK_AICSector;ES_CategoriaInverco;BE_CBF;DK_IFR;ES_INP;FR_FIP;HK_IFA;HK_MPF;HK_SCH;IL_ISA;UK_LIF/ABI Life;UK_PEN/ABI Pension;ZA_ASISA;AvailableForPensionPlan;GIFSCode;SuspendedPricing;ExchangeId;InstitutionalOnly;PenceTraded;DataReadiness;DataReadinessChangeDate;SociallyConscious;AMFI;KRCodeClass;KRCodeFund;MasterPortfolioId;PortfolioDate;LegalStructureId;SITCACode;SITCACategoryId;CICCode;GlobalCategoryId;MoneyMarketFund;AvailableForRetirementPlan;AvailableForInsuranceProduct;ShareClassTypeId;ShareClassType;RestrictedScheme;BroadAssetClass;CSDCCCode;MorningstarCategoryId_Fund;FR_PEA_PME;SpanishESP;IndexingApproach;SyntheticType;UKReportingFund;UKStatusStartDate;GermanTaxTransparence;AUTTaxTransparence;TrackRecordExtension;TrackRecordInheritedFrom;TrackRecordExtensionType
F000003WJY;0P00016SEF;FSUSA0A2MO;0C000068ZH;FRA;Amundi Asset Management;Amundi ETF Short Euro Stoxx 50 Daily;Amundi ETF Short Euro Stoxx 50 Daily A/I;FCP;Amundi ETF Short Euro Stoxx 50 Daily UCITS ETF;1;EUCA000816;39980;Active;;0;0;1;EUR;1;0;0;0;0;1;;FR0010757781;FR0010757781;;C5Sp;A0X8ZY;;10218467;;;;;;;;;;;1;LC00000264;LC00000018;;;;;;;;;;;;;;;0;GIFS$$$075;;EX$$$$CHIX;;;;;0;;;;;;23;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000816;0;0;4;2;;;0;1;;;
F000005OI2;0P00016SEH;FSUSA0ALQ8;0C000068ZH;FRA;Amundi Asset Management;Amundi ETF ShrtGvt EuroMTS BrdInvGrd Dly;Amundi ETF ShrtGvt EuroMTS BrdInvGrd Dly;FCP;Amundi ETF Short Govt Bond EuroMTS Broad Investment Grade Daily UCITS ETF;1;EUCA000817;40162;Active;;0;0;1;EUR;0;1;0;0;0;1;;FR0010821850;FR0010821850;;SB0z;A0YF8M;;10771225;;;;;;;;;;;0;LC00000264;LC00000105;;;;;;;;;;;;;;;0;GIFS$$$076;;EX$$$$CHIX;;;;;0;;;;989044;43404;23;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000817;0;0;4;2;;;0;1;;;
F00000HGTM;0P0000OXAS;FSUSA0AUQX;0C000035BI;FRA;Lyxor International Asset Management S.A;Lyxor Daily ShortDAX x2 ETF;Lyxor Daily ShortDAX x2 ETF Acc;SICAV;Lyxor Daily ShortDAX x2 UCITS ETF Acc;1;EUCA000816;40277;Active;;0;0;1;EUR;0;1;0;0;0;1;;FR0010869495;FR0010869495;;LYQL;LYX0FV;;11209014;;;;;;FF00002696006;;;;;0;LC00000264;LC00000024;;;;;;;;;;;;;;;0;GIFS$$$075;;EX$$$$XETR;;0;;;0;;;;;;9;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000816;0;0;4;2;0;43209;1;1;;;
F00000HGTM;0P0000OXAT;FSUSA0AUQX;0C000035BI;FRA;Lyxor International Asset Management S.A;Lyxor Daily ShortDAX x2 ETF;Lyxor Daily ShortDAX x2 ETF Acc;SICAV;Lyxor Daily ShortDAX x2 UCITS ETF Acc;1;EUCA000816;40277;Active;;0;0;1;EUR;0;1;0;0;0;1;;FR0010869495;FR0010869495;;LYQL;LYX0FV;;11209014;;;;;;FF00002696007;;;;;0;LC00000264;LC00000024;;;;;;;;;;;;;;;0;GIFS$$$075;;EX$$$$XFRA;;0;;;0;;;;;;9;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000816;0;0;4;2;0;43209;1;1;;;
F00000HGTN;0P0000OXAU;FSUSA0AUQY;0C000035BI;FRA;Lyxor International Asset Management S.A;Lyxor Bund Daily (-2x) Inverse ETF;Lyxor Bund Daily -2x Inverse ETF Acc;SICAV;Lyxor Bund Daily (-2x) Inverse UCITS ETF Acc;1;EUCA000817;40277;Active;;0;0;1;EUR;1;0;0;0;0;1;;FR0010869578;FR0010869578;;LYQK;LYX0FW;;11187743;;;;;;FF00002696008;;;;;0;LC00000264;LC00000030;;;;;;;;;;;;;;;0;GIFS$$$076;;EX$$$$XETR;;0;;;0;;;;1687081;43131;9;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000817;0;0;4;2;;;1;1;;;
F00000HGTN;0P0000OXAV;FSUSA0AUQY;0C000035BI;FRA;Lyxor International Asset Management S.A;Lyxor Bund Daily (-2x) Inverse ETF;Lyxor Bund Daily -2x Inverse ETF Acc;SICAV;Lyxor Bund Daily (-2x) Inverse UCITS ETF Acc;1;EUCA000817;40277;Active;;0;0;1;EUR;1;0;0;0;0;1;;FR0010869578;FR0010869578;;LYQK;LYX0FW;;11187743;;;;;;FF00002696009;;;;;0;LC00000264;LC00000030;;;;;;;;;;;;;;;0;GIFS$$$076;;EX$$$$XFRA;;0;;;0;;;;1687081;43131;9;;;46;$GC$TDTOOL;0;0;0;;;0;Alternative;;EUCA000817;0;0;4;2;;;1;1;;;
F00000JQYK;0P0000PUXG;FSUSA0B1P6;0C00009CS3;FRA;H2O AM LLP;H2O Multistrategies;H2O Multistrategies R;FCP;H2O Multistrategies R;1;EUCA000804;40413;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0010923383;FR0010923383;;;;;11630843;;;;;;FF00002708654;D$;1;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$813;;;;;;;0;;;;528753;43312;23;;;46;$GC$ALTGLM;0;0;0;;;0;Alternative;;EUCA000804;0;0;5;;0;42094;0;0;;;
F00000JQYQ;0P0000PUXM;FSUSA0B1PE;0C00009CS3;FRA;H2O AM LLP;H2O Multibonds;H2O Multibonds R C;FCP;H2O Multibonds R C;1;EUCA000754;40413;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0010923375;FR0010923375;;;;;11630841;;;;;;FF00002708660;D$;3;;;0;LC00000039;;;;;;;;;;;;;;;;0;GIFS$$$969;;;;;;;0;;;;528752;43312;23;;;42;$GC$EUROFI;0;0;0;;;1;Fixed Income;;EUCA000754;0;0;5;;1;40909;1;1;;;
F00000JQZ9;0P0000PUY6;FSUSA0B1PJ;0C00009CS3;FRA;H2O AM LLP;H2O Moderato;H2O Moderato R C;FCP;H2O Moderato R C;1;EUCA000804;40413;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0010923367;FR0010923367;;;;;11630832;;;;;;FF00002708674;D$;1;;;0;LC00000264;;;;;;;;;;;;;;;;0;GIFS$$$813;;;;;;;0;;;;528751;43312;23;;;46;$GC$ALTGLM;0;0;0;;;0;Alternative;;EUCA000804;0;0;5;;1;40817;0;0;;;
F00000JQZD;0P0000PUYA;FSUSA0B1PK;0C00009CS3;FRA;H2O AM LLP;H2O Adagio;H2O Adagio R C;FCP;H2O Adagio R C;1;EUCA000804;40413;Active;;1;0;;EUR;0;1;0;0;0;0;;FR0010923359;FR0010923359;;;;;11630677;;;;;;FF00002708678;D$;1;;;0;LC00000039;;;;;;;;;;;;;;;;0;GIFS$$$813;;;;;;;0;;;;528750;43312;23;;;46;$GC$ALTGLM;0;0;0;;;1;Alternative;;EUCA000804;0;0;5;;1;40817;0;1;;;
