isin;structure;actualite;action
LU0278937759;ABERDEEN GL-EMERG MKT SM-A2  investit sur des titres plutôt croissance (sociétés dont la croissance des bénéfices est au-dessus de la moyenne du marché) et de taille intermédiaire (plutôt des moyennes capitalisations car avec 2,7 milliards sous gestion, le fonds ne peut investir sur des petites capitalisations). La société Aberdeen est une des plus reconnues au monde pour son expertise marchés émergents. L’approche pays émergents via des sociétés de taille intermédiaire permet de se concentrer sur la croissance organique des pays émergents et non sur les grandes capitalisations qui se trouvent principalement sur le secteur exportateur et la finance. Nous privilégions cette approche.; Actuellement le gérant privilégie le Brésil et Hong Kong  et sous pondère la Chine, la Corée et Taiwan. Nous privilégions cette allocation géographique. Côté sectoriel, le secteur financier et consommation sont sur pondérés à l’inverse des services aux collectivités et de la technologie. Le gérant privilégie les sociétés à fort retour sur capital. Ainsi les sociétés en portefeuille ont un retour sur capital moyen proche de 20%. ;
LU0132412106;Aberdeen Global Emerging Markets est un fonds actions sur les pays émergents spécialisé sur les grandes capitalisations. Le fonds est global ce qui veut dire qu’il investit potentiellement sur tous les pays de l’univers émergent.  ;Actuellement le gérant privilégie la Turquie, l’Inde et le Brésil et sous pondère la Chine et dans une moindre mesure la Corée. Nous privilégions cette allocation géographique. Côté sectoriel, le secteur financier et consommation sont sur pondérés à l’inverse des services aux collectivités et de la Technologie. ;
FR0010640375;Fonds de stock picking classique. Turnover relativement faible (30%). Alexandre Finance assure qu'il n'y a pas de biais et que c'est un fonds opportuniste. On ne peut donc juger du process que sur la sur performance passée. Elle est mauvaise. ;;
FR0011279819;Bonne performance passée et avec une volatilité très réduite (1,5). Ce fonds a l'air prudent mais il ne l'est pas. En effet, 50% du portefeuille est exposé au High Yield dont des subordonnées bancaires. Depuis le lancement (été 2012), cette classe d'actifs a été sans volaitilité mais elle n'est pas exempte de risque pour autant. La gestion assure qu'elle sait être opporuniste et qu'elle pourra sortir au bon moment. nous en doutons. Le taux de rendement acturariel net est de 1,40%. Avec 50% de High Yield, le jeu n'en vaut pas la chandelle. ;;
LU0235308482;ALKEN EUROPEAN OPPORTUNITIES-A est un fonds investissant principalement sur des valeurs européennes de moyennes et surtout grandes capitalisations. Le portefeuille est assez concentré  les 10 premières lignes constituant en moyenne 50% du portefeuille. Outre la capacité du gérant à selectionner les titres sur leurs fondamentaux, le gérant applique une vision macro-économique afin de déterminer les grandes tendances et les secteurs à même d'en profiter. A la marge le portefeuille peut avoir des valeurs internationales. ;Dernièrement le fonds a pâti de l’actualité sur Wirecard (9% du portefeuille). Comme en 2016, des rumeurs de malversation ont fait dévisser le titre. La gestion est très confiante sur le dossier mais subit la volatilité à court terme.   Sectoriellement parlant, le fonds est plutôt exposé sur des valeurs cycliques avec la consommation discrétionnaire à 26.6% dont les 2/3 sur l’automobile, l’industrie à 18% et Matériels à 11.5%. A noter que le fonds est absent des secteurs de la finance et de la santé. La gestion n’a pas renforcé les petites capitalisations même si elle est positive sur le segment. Le portefeuille a donc peu changé.   ;CONSERVER
LU0524465977;ALKEN EUROPEAN OPPORTUNITIES-A est un fonds investissant principalement sur des valeurs européennes de moyennes et surtout grandes capitalisations. Le portefeuille est assez concentré  les 10 premières lignes constituant en moyenne 50% du portefeuille. Outre la capacité du gérant à selectionner les titres sur leurs fondamentaux, le gérant applique une vision macro-économique afin de déterminer les grandes tendances et les secteurs à même d'en profiter. A la marge le portefeuille peut avoir des valeurs internationales. ;Dernièrement le fonds a pâti de l’actualité sur Wirecard (9% du portefeuille). Comme en 2016, des rumeurs de malversation ont fait dévisser le titre. La gestion est très confiante sur le dossier mais subit la volatilité à court terme.   Sectoriellement parlant, le fonds est plutôt exposé sur des valeurs cycliques avec la consommation discrétionnaire à 26.6% dont les 2/3 sur l’automobile, l’industrie à 18% et Matériels à 11.5%. A noter que le fonds est absent des secteurs de la finance et de la santé. La gestion n’a pas renforcé les petites capitalisations même si elle est positive sur le segment. Le portefeuille a donc peu changé.   ;CONSERVER
LU0572586591;ALKEN FUND-ABSOL RET EUROP-A est un fonds acheteur/vendeur actions. C’est donc un fonds qui peut prendre des positions simultanées à l’achat et à la vente. La performance se fait alors sur l’écart de performance entre le portefeuille à l’achat et le portefeuille à la vente. Ce type de fonds dépend donc moins de l’évolution du marché actions dans son ensemble que de la capacité du gérant à sélectionner des titres. L’objectif de ce fonds est de capter une partie plus importante de la hausse que de la baisse. Spécifiquement Alken a su prouver sa capacité à faire varier son exposition nette (positions acheteuses – positions vendeuses) au marché. Le fonds est capable d’abaisser son exposition nette à 0% ou de la monter à 60% quand le gérant l’estime nécessaire, ce que nous apprécions.;Dernièrement le fonds a pâti de l’actualité sur Wirecard (5% du portefeuille). Comme en 2016, des rumeurs de malversation ont fait dévisser le titre. La gestion est très confiante sur le dossier mais subit la volatilité à court terme.   Sectoriellement parlant, le fonds est plutôt exposé sur des valeurs cycliques sur sa partie longue avec la consommation discrétionnaire à 11% dont les 2/3 sur l’automobile, l’industrie à 11% et Matériels à 7%. Sur sa partie vendeuse le fonds se concentre surtout sur la santé (-4%) et la finance (-4%). ;CONSERVER
FR0000975880;;;
FR0000011959;Le fonds Allianz Foncier est un fonds de foncières côtées Europe. Le fonds eszt de taille importante pour le secteur, ainsi la part d'actifs réellement différente de l'indice (Active Share) s'élève à seulement 25% ce qui conduit logiquement à des performances très proches de celles de l'indice de référence. Le fonds est exposé à tous types de biens immobiliers pour assurer une certaine diversification: Résidentiel, Centre commerciaux, Bureaux, Hotels, Commerce et logistique.;Actuellement les biais géographiques principaux sont la France (36%) et l'Allemagne (34%). La France car les gérants anticipent une hausse des rendements sur l'immobilier des bureaux en raison d'une augmentation de l'attractivité. En Allemagne un pari est pris sur le retard des prix des biens immobiliers comparé au reste des marchés de la Zone Euro. En matière de type de biens le résidentiel est prépondérant (37%), suivi des centres commerciaux (24%) et des bureaux (22%).;
FR0011236629;Altiflex est un fonds flexible sur actions internationales. Le fonds possède 4 moteurs de performance. Tout d’abord la sélection d’actions internationales qui représente 90% de l’actif du fonds. On trouve également une poche minoritaire (environ 10%) de fonds sur des thématiques bien spécifiques (rupture technologique, vieillissement de la population…). Le portefeuille peut aussi s’exposer à des stratégies opportunistes (volatilité, un indice versus un autre…), là aussi pour une part minoritaire. Enfin on trouve une sur ou sous exposition  du portefeuille via des dérivés pouvant aller de 50 à 150%.  ;La rotation du portefeuille est importante (150 à 200%) ce que nous ne privilégions pas. Actuellement l'exposition est à 70% (stable depuis l'élection de Donald Trump). Le fonds a raté le rallye de fin d'année mais ils ne veulent pas revenir tout de suite. L'exposition géographique a un biais US pour des raisons de benchmark alors que la gestion dit préférer la zone Euro. Nous ne privilégions pas cette exposition. ;CONSERVER
FR0010581736;AMAIKA 60 est un fonds de fonds multi classes d’actifs avec une exposition maximum en actions de 60%. Historiquement cette exposition a été entre 30 et 60% en moyenne. On trouve une allocation entre actions, obligations, performance absolue et/ou matières premières soit une allocation ouverte. L’approche est résolument top down c’est à dire dictée par des vues sur la macro-économie. Les supports d’investissement sont des fonds sélectionnés avec une double approche quantitative et qualitative. L’exposition aux marchés peut être modifiée via des dérivés. L’approche est résolument contrariante: achat lorsque le marché baisse et vente lorsque le marché monte. ;La partie obligataire a été vendue en totalité, il ne reste plus que du monétaire. La part actions est à 40% en net. ;ALLEGER
FR0010813329;Optimum est un fonds d’allocation d’actifs réduite entre actions internationales (fort biais zone Euro) et obligations. Cependant l’originalité de ce fonds réside dans la façon d’investir ces deux classes d’actifs. Sur la partie actions, la stratégie est dite “d’alpha portable”. Le gérant sélectionne des fonds capables de sur performer leur indice de référence et se couvre contre le risque de marché. Il cherche donc à ne s’exposer qu’au talent de sélection de valeurs du gérant. L’exposition  nette au marché actions est limitée à 20% dans les faits elle est plus limitée. Sur la partie obligataire, la stratégie est “buy & hold”. Les obligations sont choisies pour leur rendement et sont amenées à leur terme. Les obligations sont essentiellement dans l’univers “High Yield” c’est à dire issues de sociétés à la solvabilité moyenne voire médiocre. Ce risque doit être compensé par un rendement. Une quarantaine d’émetteurs sont en portefeuille. ;Le fonds continue de profiter du poids relativement important des financières (25% de la poche) et de leur bonne tenue depuis le début de l'année. Le fonds est couvert contre la remontée des taux. Côté actions l'alpha portable amène peu de performance. ;ALLEGER
FR0010286021;"Sextant Autour du Monde est un fonds d’actions internationales diversifié sur toutes zones géographiques et sur toutes tailles de capitalisations. Le style de gestion est ""value"", c'est à dire que la gestion recherche des sociétés sous valorisées. Le gérant peut par ailleurs couvrir une partie du portefeuille. Le fonds est tout de même agressif (fort biais petites et moyennes capitalisations) ce qui se traduit par de fortes pertes dans les années difficiles (2008 & 2011) et de fortes surperformances dans les années fastes.";Le fonds a une forte pondération sur le secteur de la consommation et media/internet. Les pays émergents ont actuellement le même poids que les pays développés avec une forte sous pondération des US (5,4%) que la gestion trouve chers. Concernant les tailles de capitalisation, le fonds a un fort biais petites et moyennes capitalisations (70%). ;
FR0010286013;Sextant Grand Large est un fonds actions/obligations internationales qui possède un biais France classique pour un gérant français. Le gérant a toute latitude pour exposer le fonds de 0 à 100% en actions, même si les bornes sont plus réduites dans la réalité (24% au minimum et 83% au maximum). Ce fonds est donc flexible. Le niveau d’exposition aux actions se fait en fonction du niveau de valorisation des marchés via le P/E de Shiller. Plus celui-ci est faible, plus le fonds s’expose et inversement. Ce fonds n’est pas défensif, il est plutôt à classer parmi les flexibles offensifs. En effet la part des moyennes capitalisations est forte. La part obligataire est par ailleurs investie sur des titres hybrides (entre actions et obligations). ;"Après avoir touché un point bas à 21% le 22 octobre 2018, l’exposition actions du fonds a augmenté progressivement avec la baisse pour atteindre 32,4% fin décembre mais a rebaissé à 28,8% depuis accompagnant la hausse du marché. 
La poche reste concentrée sur l’Europe (46%) et l’Asie (32%) avec toujours une préférence pour la France (27%) et le Japon (15%). Le Japon est préféré aux Etats-Unis où les valorisations semblent trop élevées et les bilans moins sains. Le poids des petites capitalisations (<2 Mds €) a diminué avec la réexposition mais la gestion les estime encore surévaluées malgré la forte correction de 2018. Malgré la contre performance, la sélection de titres a créé de la valeur. 
La poche obligataire se maintient proche des 15% de l’actifs, composée essentiellement d’obligations d’entreprises High Yield dont un quart sur des convertibles. Le positionnement est très court (< 3 ans) pour une sensibilité maitrisée (1.9). Ainsi le rendement qui atteint +6.5% fin décembre, se fait surtout sur les spread de crédit et non en allongeant la durée. La gestion reste tout de même prudente sur cette classe d’actifs car si les rendements redeviennent attractifs (proche de 5% en moyenne), ils ne s’obtiennent pas sans prise de risque (sensibilités taux ou crédit élevées), ni sans disparité. 
Enfin le niveau de cash reste élevé, majoritairement placé sur des billets de trésorerie ou des comptes de dépôts, ce qui limite le coût de cette poche à quelques points de base. ";ACHETER
FR0010286005;Sextant PEA est un fonds actions essentiellement européennes dont l’exposition nette doit être supérieure à 60%. Sans contrainte en termes de capitalisation, la gestion n’hésite pas à se positionner en conséquence sur des Small et Mid Caps. Il peut également utiliser des titres obligataires ou monétaires dans la limite de 25% de l’actifs avec une contrainte de 10% max sur des notations High Yield. Parmi les fonds les moins volatiles de sa catégorie, il a tendance à bien résister dans les phases compliquées mais les rebonds sont de plus faible ampleur que le marché.;Actuellement investi à hauteur de 85%, la gestion privilégie les Mid Caps (500M€-2Mds€ : > 35%) mais les Small Caps représentent une part non négligeable (< 500 M€ : > 20%). Plus de 50% du portefeuille est positionné sur la France qui constitue le 2ème marché le plus performant YTD.  La performance est au RDV, bien au-delà de la moyenne de ses pairs.  ;
